Code,Description,Declarable
8408908120,"Compression-ignition internal combustion piston engines:
 
-of the inline type,
 
-with a cylinder capacity of 7 000 cm³ or more but not more than 18 100 cm³,
 
-with a power of 205 kW or more but not more than 597 kW,
 
-with an exhaust after-treatment module,
 
-with external width/height/depth dimensions of not more than 1 310/1 300/1 040 mm or 2 005/1 505/1 300 mm or 2 005/1 505/1 800 mm,
for use in the manufacture of crushing, screening, separation or compost turning machines",True
8408908190,Other,True
8408908510,For use in civil aircraft,True
8408908590,Other,True
8408908910,For use in civil aircraft,True
8408908990,Other,True
8412298910,For use in civil aircraft,True
8412298990,Other,True
8413506910,For use in civil aircraft,True
8413506990,Other,True
8413603910,For use in civil aircraft,True
8413603990,Other,True
8413606910,For use in civil aircraft,True
8413606990,Other,True
8413702100,Single-stage,True
8413702900,Multi-stage,True
8413705910,For use in civil aircraft,True
8413705990,Other,True
8413706510,For use in civil aircraft,True
8413706590,Other,True
8413707510,For use in civil aircraft,True
8413707590,Other,True
8413708910,For use in civil aircraft,True
8413708990,Other,True
8414108910,For use in civil aircraft,True
8414108990,Other,True
8414308910,For use in civil aircraft,True
8414308920,"Vehicle air conditioning system part, consisting of an open shaft reciprocating compressor of a power of more than 0,4|kW but not more than 10|kW",True
8414308940,"Electrical compressor for motor vehicle air conditioning system:
 
-with a power output of more than 0,4 kW but not exceeding 10 kW,
for use in the manufacture of motor vehicles of subheading 8703 40",True
8414308990,Other,True
8414593510,For use in civil aircraft,True
8414593520,"Radial fan, with:

-a dimension of 25mm (height) x 85mm (width) x 85mm (depth),

-a weight of 120 g,

-a rated voltage of 13,6 VDC (direct current voltage),

-an operating voltage of 9 VDC or more but not more than 16 VDC (direct current voltage),

-a rated current of 1,1 A (TYP),

-a rated power of 15 W,

-a rotation speed of 500 RPM (revolutions per minute) or more but not more than 4800 RPM (revolutions per minute) (free flow),

-an air flow of not more than 17,5 litre/s,

-an air pressure of not more than16 mm H2O ≈ 157 Pa,

-an overall sound pressure of not more than 58 dB(A) at 4800 RPM (revolutions per minute), and
with a FIN (Fan Interconnect Network) interface for communication with the heating and air-conditioning control unit used in car seat ventilation systems",True
8414593530,"Electric blower for cooling the high-voltage battery of a hybrid passenger car with:
 
-a control unit,
 
-MOSFET inverter,
 
-a voltage of 9 V or more but not more than 16 V,
 
-ambient temperature of - 40 °C or more, but not more than 80 °C,
for use in the manufacture of hybrid passenger cars",True
8414593540,"Electric blower for cooling the battery module:
 
-with an operating voltage of 9 VDC or more but not more than 16 VDC,
 
-with a centrifugal electric fan,
 
-with a connector,
 
-with a plastic case,
 
-with or without a control unit for the fan electric motor,
for use in the production of rechargeable batteries for hybrid and electric vehicles",True
8414593590,Other,True
8414599510,For use in civil aircraft,True
8414599590,Other,True
8414801910,For use in civil aircraft,True
8414801990,Other,True
8414802810,For use in civil aircraft,True
8414802890,Other,True
8414805910,For use in civil aircraft,True
8414805990,Other,True
8414807810,For use in civil aircraft,True
8414807890,Other,True
8418215910,Pre-charged with hydrofluorocarbons (HFCs),True
8418215990,Other,True
8418219910,Pre-charged with hydrofluorocarbons (HFCs),True
8418219990,Other,True
8418501910,Pre-charged with hydrofluorocarbons (HFCs),True
8418501990,Other,True
8419899810,"Pre-assembled process module unit of an ethane cracker unit, containing:equipment associated with an external multi-stage, centrifugal cracked gas compressor which compresses hydrocarbon gases to allow further processing downstream in interconnected equipment containing:
 
-​coolers,
 
-vapor-liquid separation drums, and
 
-pumps needed to condense and remove water and heavier hydrocarbons and to avoid undesirable formation of polymer by-products,
equipment associated with an external caustic wash tower containing: 
 
-caustic water circulation pumps to support an external caustic wash tower in removing acid gasses (carbon dioxide and hydrogen sulphide) from the cracked gas, 
 
-a spent caustic pre-treatment system, containing separation drums, pumps and mixers, 
 
-a heat exchanger for the pre-cooling of cracked gas, and 
 
-a separation drum for the removal of water from cracker gas",True
8419899890,Other,True
8419908510,"Of heat exchange units, for use in civil aircraft",True
8419908540,"Silicone or plastic keyboards, comprising:
 
-parts of common metal, and
 
-whether or not comprising parts of plastic,
 
-epoxy resin reinforced with fiberglass or wood,
 
-whether or not printed or surface-treated,
 
-with or without electrical conductors
 
-with or without a membrane bonded to the keyboard,
 
-with or without mono or multilayer protective film",True
8419908590,Other,True
8420108100,Roll laminators of a kind used solely or principally for the manufacture of printed circuit substrates or printed circuits,True
8420108900,Other,True
8421398510,For use in civil aircraft,True
8421398590,Other,True
8423812100,Check weighers and automatic control machines operating by reference to a pre-determined weight,True
8423812300,Machinery for weighing and labelling pre-packaged goods,True
8423812500,Shop scales,True
8423812900,Other,True
8423828100,Check weighers and automatic control machines operating by reference to a pre-determined weight,True
8423828900,Other,True
8424300100,With heating device,True
8424300800,Other,True
8427201100,Rough terrain fork-lift and other stacking trucks,True
8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",True
8427201990,Other,True
8428907100,Designed for attachment to agricultural tractors,True
8428907900,Other,True
8429519100,Crawler shovel loaders,True
8429519900,Other,True
8432391100,Central driven precision spacing seeders,True
8432391900,Other,True
8433119000,Other,True
8433197000,Other,True
8433591100,Self-propelled,True
8433591900,Other,True
8438809100,For the preparation or manufacture of drink,True
8438809900,Other,True
8443133200,Not exceeding 53|!x!|75|cm,True
8443133400,Exceeding 53|!x!|75|cm but not exceeding 75|!x!|107|cm,True
8443133800,Exceeding 75|!x!|107|cm,True
8443919100,Of cast iron or cast steel,True
8443919900,Other,True
8450111100,Front-loading machines,True
8450111900,Top-loading machines,True
8452101100,"Sewing machines having a value (not including frames, tables or furniture) of more than €|65|each",True
8452101900,Other,True
8455303100,Hot-rolling work-rolls; hot-rolling and cold-rolling back-up rolls,True
8455303900,Cold-rolling work-rolls,True
8456301100,Wire-cut,True
8456301900,Other,True
8458114100,Single spindle,True
8458114900,Multi-spindle,True
8461403100,Numerically controlled,True
8461403900,Other,True
8461409000,Other,True
8461501100,Circular saws,True
8461501900,Other,True
8464201100,Optical glass,True
8464201900,Other,True
8466103100,For lathes,True
8466103800,Other,True
8466209100,For lathes,True
8466209800,Other,True
8467219100,Electropneumatic,True
8467219900,Other,True
8467297000,Planers,True
8467298000,Hedge trimmers and lawn edge cutters,True
8467298500,Other,True
8477801100,Machines for processing reactive resins,True
8477801900,Other,True
8477809100,Size reduction equipment,True
8477809300,"Mixers, kneaders and agitators",True
8477809500,"Cutting, splitting and peeling machines",True
8477809910,Machines for casting or for surface modification of plastic membranes of heading|3921,True
8477809990,Other,True
8479899710,"The following goods, for use in civil aircraft :!1!Hydropneumatic batteries;!1!Mechanical actuators for thrust reversers;!1!Toilet units specially designed;!1!Air humidifiers and dehumidifiers;!1!Servo-mechanisms, non-electric;!1!Non-electric starter motors;!1!Pneumatic starters for turbo-jets, turbopropellers and other gas turbines;!1!Windscreen wipers, non-electric;!1!Propeller regulators, non-electric!1!",True
8479899728,"Integrated electric brake unit for immediate generation of the hydraulic pressure during braking, full electronic brake control and enabling regenerative braking of motor vehicles with:
 
-electronic brake assistants,
 
-hydraulic unit driven by brushless electric motor,
 
-brake fluid reservoir,
for use in the manufacture of hybrid passenger cars",True
8479899733,"Pre-assembled process module unit of an ethane cracker unit, containing:
 
-various distillation columns (depropanizer, debutanizer and degreenoiler) and their associated heat exchangers, pumps and drums,
 
-a chilling train containing heat exchangers and a drum which condenses C2 in a gas stream,
 
-a system to separate hydrogen and methane from cracked gas containing heat exchangers, drums, turbines, compressors and a hydrogen purification unit (pressure swing adsorption unit),
 
-associated equipment of a C3 splitter distillation column, containing heat exchanger, pumps and drums, and
 
-a vinyl acetylene hydrogenation system, containing hydrogenation reactors, filters, mixer, drum, condenser, heat exchangers",True
8479899738,"Camshaft actuator for controlling the timing of valve opening by using electromotor in a continuous variable valve timing system of an internal combustion piston engine, of:
 
-a length of 110 mm or more but not more than 140 mm,
 
-a width of 90 mm or more but not more than 130 mm,
 
-a height of 80 mm or more but not more than 110 mm
for use in the manufacture of engines of motor vehicles",True
8479899743,"Pre-assembled process module unit of an ethane cracker unit, containing:
 
-a system for filtering and cooling of dried cracked gas,
 
-a deethanizer distillation column and associated equipment for C2-/C3+ separation,
 
-an acetylene hydrogenation system to remove acetylene within a C2 stream,
 
-a fuel gas drum that stores fuel gas for cracker furnaces, and 
 
-a system to regenerate dryers in a cracker installation",True
8479899760,"Bioreactor for biopharmaceutical cell culture
- having interior surfaces of austenitic stainless steel, and
- with a process capacity up to 15 000 litres,
- whether or not combined with a “clean-in-process” system and/or a dedicated paired media hold vessel",True
8479899790,Other,True
8481100510,For use in certain types of aircraft,True
8481100590,Other,True
8481109910,For use in certain types of aircraft,True
8481109940,"Pressure reducing valves in a brass case with:
 
-a length of not more than 30 mm (± 1 mm),
 
-a width of not more than 18 mm (± 1 mm),
of a kind used for incorporation in fuel delivery modules of motor vehicles",True
8481109990,Other,True
8481309120,For use in certain types of aircraft,True
8481309130,Other,False
8481309920,For use in certain types of aircraft,True
8481309950,"Mechanical check (non-return) valve for opening and closing of the flow of fuel:
 
-with an operating pressure of not more than 250 MPa,
 
-with a flow rate of 45 cm³/minute or more, but not more than 55 cm³/minute,
 
-with 4 input holes, each of them with a diameter of 1,2 mm or more, but not more than 1,6 mm,
 
-made of steel",True
8481309990,Other,True
8481801910,For use in certain types of aircraft,True
8481801990,Other,True
8481803100,Thermostatic valves,True
8481803900,Other,True
8481805920,Pressure regulating|valve for incorporation into|compressors of motor vehicle air condition|units,True
8481805930,"Two-way flow control valve with housing, with:
- at least 5, but not more than 16 outlet holes with at least 0,05 mm, but not more than 0,5 mm diameter,
- at least 330 cm³/minute, but not more than 5 000 cm³/minute flow rate,
- at least 19, but not more than 300 MPa operating pressure",True
8481805940,"Flow-control valve
-|made of steel,
-|with an outlet hole with a diameter of at least 0,05mm or more, but not more than 0,5|mm,
-|with an inlet hole with a diameter of at least 0,1|mm, but not more than 1,3|mm,
-|with chromium nitride coating,
-|with a surface roughness of Rp 0,4",True
8481805950,"Electromagnetic valve for quantity control with

-|a plunger,

-|a solenoid with a of coil resistance of at least 1,85 Ohm, but not more than 8,2|Ohm",True
8481805960,"Electromagnetic valve for quantity control
-	with a solenoid with a coil resistance of at least 0,19 Ohm, but not more than 0,66 Ohm, and with an inductance of not more than 1 mH",True
8481805970,"Flow-control valve
 
-made of steel,
 
-with an outlet hole with a diameter of at least 0,05 mm, but not more than 0,5 mm,
 
-with an inlet hole with a diameter of at least 0,1 mm, but not more than 1,3 mm",True
8481805980,"Solenoid valve for combustion engine oil pump to regulate the quantity of oil in the pump:
 
-with a cable of length of 550 mm or more but not more than 700 mm incorporating an electrical connector,
 
-with an operating pressure of not more than 5.5 bar,
 
-with an operating voltage of 9 VDC or more but not more than 16 VDC,
 
-with a valve's base width of 22 mm or more but not more than 27 mm,
 
-with a valve's length of 55 mm or more but not more than 110 mm,
for use in the manufacture of motor vehicle engines",True
8481805990,Other,True
8481806350,For use in certain types of aircraft,True
8481806390,Other,True
8481806950,For use in certain types of aircraft,True
8481806960,Other,False
8481807100,Of cast iron,True
8481807310,For use in certain types of aircraft,True
8481807320,"Pressure- and flow-control valve controlled by external electromagnet:
 
-|made of steel and/or steel alloy(s),
 
-|without integrated circuit,
 
-|of not more than 1000|kPa operating pressure,
 
-|with a flow quantity of not more than 5|l/min,
 
-|without an electromagnet",True
8481807390,Other,True
8481807910,For use in certain types of aircraft,True
8481807990,Other,True
8481808130,For use in certain types of aircraft,True
8481808190,Other,True
8481808530,For use in certain types of aircraft,True
8481808590,Other,True
8481808730,For use in certain types of aircraft,True
8481808790,Other,True
8481809940,For use in certain types of aircraft,True
8481809970,"Pressure- and flow-control valve controlled by external electromagnet:
 
-|made of steel and/or steel alloy(s),
 
-|without integrated circuit,
 
-|of not more than 1000|kPa operating pressure,
 
-|with a flow quantity of not more than 5|l/min,
 
-|without an electromagnet",True
8481809980,"Solenoid valve for combustion engine continuous variable valve timing system to control oil flow as a function of engine speed and load:

-in metal cover,

-with electrical connector,

-with a force of not more than 10 N,

-with an operating voltage of 9 VDC or more but not more than 16 VDC,

-with a length of 80 mm or more but not more than 110 mm,

-with a width of 80 mm or more but not more than 110 mm,

-with a height of 20 mm or more but not more than 30 mm,
for use in the manufacture of engines of motor vehicles",True
8481809990,Other,True
8483102510,For use in civil aircraft,True
8483102590,Other,True
8483102910,For use in civil aircraft,True
8483102990,Other,True
8483109510,For use in civil aircraft,True
8483109530,"Steel alloy splined shaft (torque shaft) with straight teeth and involute profile, with:
 
-external toothing in a diametral pitch standard,
 
-17 teeth or more, but not more than 50 teeth,
 
-a diameter of 35 mm or more, but not more than 145 mm,
 
-a length of 200 mm or more, but not more than 1345 mm,
 
-a hardness of 35 HRC or more, but not more than 45 HRC",True
8483109540,"Stepped shaft made of carbon steel with: 

-rolled, involute profiled, splined shaft end, the helix angle of which is at least 0°15,5' but not more than 0° 21,5',

-a largest diameter of 16 mm or more, but not more than 18 mm,

-a length of 137 mm or more, but not more than 155 mm,

-a weight of 0,12 kg or more, but not more than 0,28 kg",True
8483109550,"Drum shaft for torque transmission, in steel (to SM45C for shaft standard and STS430 for ring standard) with:

-a length of 137,8 mm or more but not more than 138,2 mm,

-an outer diameter of 23 mm or more but not more than 48,025 mm,

-a weight of 1,0245 kg or more but not more than 1,0445 kg,

-a hardness of the shaft of 40 or more on the Rockwell C hardness scale (HRC), but not more than 50 HRC,

-a ring hardness of 90 or more on the Rockwell B hardness scale (HRB), but not more than 120 HRB,

-an external 37-teeth spline with major diameter of 41 mm or more but not more than 48 mm",True
8483109590,Other,True
8483303810,For use in civil aircraft,True
8483303860,Other,False
8483402310,For use in civil aircraft,True
8483402320,"Bevel gear:
 
-made of lightweight alloys and steel,
 
-built on straight or helical bevel gears,
 
-with an angle between the shafts of 30 degrees or more but not more than 90 degrees
 
-with a gear 1:1,3 ratio or more but not more than 1:1,46,
for use in the manufacture of grass trimmers, brushcutters and other types of garden machinery",True
8483402330,"Bevel gear:
 
-made of lightweight alloys and steel,
 
-built on straight bevel gears,
 
-with an angle between the shafts of 24 degrees or more but not more than 35 degrees,
for use in the manufacture of grass trimmers, brushcutters and other types of garden machinery",True
8483402390,Other,True
8483402510,For use in civil aircraft,True
8483402520,"Worm gearbox
 
-in an aluminium alloy housing,
 
-with a plastic or steel worm,
 
-with mounting holes,
 
-with a 90 degree reversible drive direction,
 
-with a 4:19 transmission ratio,
 
-equipped with a lead screw with a length of 310 mm or more but not more than 380 mm,

-with a guide nut incorporated into the assembly bracket, 

-with or without a lead screw support, 

for indirect connection to the drive motor of a car seat guide system",True
8483402590,Other,True
8483402910,For use in civil aircraft,True
8483402950,Other,False
8483405910,For use in civil aircraft,True
8483405930,"Hydrostatic speed changer:
 
-with a hydro pump and a differential with wheel axle,
 
-whether or not with a fan impeller and/or a pulley,
for use in the manufacture of lawn mowers of subheadings 8433 11 and 8433 19 or other mowers of subheading 8433 20",True
8483405990,Other,True
8483908910,For use in civil aircraft,True
8483908920,"Sprocket for continuous variable valve timing to optimize the process of filling the cylinders of an internal combustion engine with:
 
-case,
 
-rotor,
 
-at least 4 screws,
 
-spring,
 
-of an external diameter of 80 mm or more but not exceeding 95 mm,
 
-of a thickness of 25 mm or more but not more than 35 mm,
for use in the manufacture of engines of motor vehicles",True
8483908930,"Forged steel sprockets with external toothing, whether or not with internal splines in a diametral pitch standard, with:
 
-a diameter of 400 mm or more, but not more than 630 mm,
 
-7 teeth or more, but not more than 15 teeth,
 
-a tooth core hardness of 28 HRC or more, but not more than 45 HRC,
 
-a tooth surface hardness of 50 HRC or more, but not more than 60 HRC,
 
-whether or not, a spline hardness of 30 HRC or more, but not more than 45 HRC,
 
-an effective carburized case depth of 4 mm or more, but not more than 5 mm",True
8483908940,"Steel alloy gear wheels with straight teeth and involute profile, with:
 
-external and/or internal toothing in a diametral pitch standard,
 
-a diameter of 35 mm or more, but not more than 600 mm,
 
-13 teeth or more, but not more than 80 teeth,
 
-a tooth core hardness of 28 HRC or more, but not more than 45 HRC,
 
-a tooth surface hardness of 50 HRC or more, but not more than 65 HRC,
 
-an effective carburized case depth of 1,00 mm or more, but not more than 3,1 mm,
 
-a spline hardness of 27 HRC or more, but not more than 62 HRC,
 
-whether or not in combination with a shaft with a spline hardness of 27 HRC or more, but not more than 62 HRC",True
8483908990,Other,True
8487905710,For use in certain types of aircraft,True
8487905790,Other,True
8487905910,For use in certain types of aircraft,True
8487905990,Other,True
8501109310,For use in certain types of aircraft,True
8501109390,Other,True
8501109910,For use in certain types of aircraft,True
8501109920,Other,False
8501539410,For use in certain types of aircraft,True
8501539490,Other,True
8501539910,For use in certain types of aircrafts,True
8501539990,Other,True
8503009810,For use in certain types of aircraft,True
8503009832,Other,False
8504312910,For use in civil aircraft,True
8504312990,Other,True
8504408610,For use in civil aircraft,True
8504408690,Other,True
8504409510,For use in civil aircraft,True
8504409590,Other,True
8504901100,Ferrite cores,True
8504901300,"Steel laminations and cores, whether or not stacked or wound",True
8504901700,Other,True
8505902100,Electromagnets of a kind used solely or principally for magnetic resonance imaging apparatus other than electromagnets of heading 9018,True
8505902910,For use in certain types of aircraft,True
8505902999,Other,True
8506101100,Cylindrical cells,True
8506101800,Other,True
8506109100,Cylindrical cells,True
8506109800,Other,True
8515391300,Transformers,True
8515391800,"Generators or rotary converters or static converters, rectifiers or rectifying apparatus",True
8516299100,With built-in fan,True
8516299900,Other,True
8519209100,With laser reading system,True
8519209910,"Music reproducers and automatic announcers, for use in certain types of aircraft",True
8519209990,Other,True
8523291500,Unrecorded,True
8523291900,Other,True
8527219200,Of the cassette-type with an analogue and digital reading system,True
8527219800,Other,True
8528529100,With a screen of the liquid crystal display (LCD) technology,True
8528529900,Other,True
8529101100,Telescopic and whip-type aerials for portable apparatus or for apparatus for fitting in motor vehicles,True
8529103000,Outside aerials for radio or television broadcast receivers,True
8529106900,Other,True
8529106510,For use in civil aircraft,True
8529106590,Other,True
8529909300,For apparatus of headings 8527|and 8528,True
8529909600,Other,True
8531109510,For use in civil aircraft,True
8531109590,Other,True
8531209510,For use in civil aircraft,True
8531209590,Other,True
8534001100,Multilayer circuits,True
8534001900,Other,True
8536508000,Other,True
8537109500,"Touch-Sensitive Data Input Devices (so-called touch screens) without display capabilities, for incorporation into apparatus having a display, which function by detecting the presence and location of a touch within the display area",True
8537109810,For use in certain types of aircraft,True
8537109830,Other,False
8537209110,For use in certain types of aircraft,True
8537209190,Other,True
8537209910,For use in certain types of aircraft,True
8537209990,Other,True
8538901100,Electronic assemblies,True
8538901900,Other,True
8538909910,For use in certain types of aircraft,True
8538909950,Other,False
8539219810,"Lamps for lighting, for use in certain types of aircraft",True
8539219890,Other,True
8539299810,"Lamps for lighting, for use in certain types of aircraft",True
8539299890,Other,True
8542311100,Multi-component integrated circuits (MCOs),True
8542311900,Other,True
8542321100,Multi-component integrated circuits (MCOs),True
8542321900,Other,True
8542324500,"Static random-access memories (S-RAMs), including cache random-access memories (cache-RAMs)",True
8542325500,"UV erasable, programmable, read only memories (EPROMs)",True
8542329000,Other memories,True
8542327500,Other,True
8542391100,Multi-component integrated circuits (MCOs),True
8542391900,Other,True
8544499100,"Wire and cables, with individual conductor wires of a diameter exceeding 0,51|mm",True
8544499900,For a voltage of 1|000|V,True
8544499510,"PET or PVC insulated flexible cable with or without connector with:
 
-voltage of not more than 250 V,
 
-a current of not more than 1 A,
 
-a heat resistance of not more than 105 °C,
 
-individual wires of a thickness of not more than 0,1 mm (± 0,01 mm) and a width of not more than 0,8 mm (± 0,03 mm),
 
-a distance between conductors of not more than 0,5 mm and
 
-a pitch (distance from centreline to centreline of conductors) of not more than 1,25 mm",True
8544499590,Other,True
8702101100,New,True
8702101900,Used,True
8702109100,New,True
8702109900,Used,True
8702903100,New,True
8702903900,Used,True
8703231100,Motor caravans,True
8703231900,Other,True
8703321100,Motor caravans,True
8703321900,Other,True
8703331100,Motor caravans,True
8703331900,Other,True
8704219100,New,True
8704219900,Used,True
8704229100,New,True
8704229900,Used,True
8704239100,New,True
8704239900,Used,True
8704319100,New,True
8704319900,Used,True
8704329100,New,True
8704329900,Used,True
8704419100,New,True
8704419900,Used,True
8704429100,New,True
8704429900,Used,True
8704439100,New,True
8704439900,Used,True
8704519100,New,True
8704519900,Used,True
8704529100,New,True
8704529900,Used,True
8706001100,For vehicles of heading|8702|or 8704,True
8706001900,Other,True
8706009100,For vehicles of heading|8703,True
8706009900,Other,True
8708309900,Other,True
8708409100,Of closed-die forged steel,True
8708409900,Other,True
8708503500,"Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles",True
8708509910,"Transmission shaft in carbon fibre reinforced plastics consisting of a unique piece without any joint in the middle
 
-|of a length of| 1|m or more but not more than 2|m,
 
-|of a weight of 6|kg or more but not more than 9|kg",True
8708509925,"Housing of tripod type half shaft inboard joint for transmitting a torque from engine and transmission to wheels of motor vehicles with:

-an outer diameter of 67,0 mm or more but not more than 84,5 mm,

-3 cold calibrated roller tracks with a diameter of 29,90 mm or more but not more than 36,60 mm,

- sealing diameter 34,0 mm or more but not more than 41,0 mm, without lead angle,

-spline with 21 teeth or more but not more than 35,

-bearing seat diameter of 25,0 mm or more but not more than 30,0 mm, with or without oil grooves",True
8708509935,"Outboard joint assembly for transmitting a torque from engine and transmission to wheels of motor vehicles, consisting of:

-an inner race with 6 ball tracks for running with the bearing balls with a diameter 15,0 mm or more but not more than 20,0 mm,

-an outer race with 6 ball tracks for running with 6 bearing balls, made of steel with carbon content of 0,45 % or more but not more than 0,58 %, with thread and with a spline with 26 teeth or more but not more than 38,

-a spherical cage keeping bearing balls in the ball tracks of outer race and inner race in proper angular position, made of material suitable for carburizing with carbon content of 0,14 % or more but not more than 0,25 %, and

-with a grease compartment,
capable of working at constant speed at variable articulation angle not higher than 50 degrees",True
8708509940,"Double flange bearing of 3rd generation, for motor vehicles,

-|with double-row ball bearing,

-|whether or not with impulse (encoder) ring,

-|whether or not with antilock brake system (ABS) sensor,

-|whether or not with mounted screws,
for use in the manufacture of goods of chapter 87",True
8708509945,"Ball-type outboard constant velocity joint housing for transmitting a torque from the engine and transmission to the wheels of motor vehicles, in a form of an outer race, with:
 
-6 ball tracks or more but not more than 8, with
 
-a thread,
 
-an external involute spline with 21 or more but not more than 38 teeth,
 
-for running with bearing balls made of steel with a carbon content of 0,48 % or more but not more than 0,57 %,
 
-forged, turned, milled and hardened",True
8708509950,"Inboard constant velocity joint tripod housing, with:
 
-an outer diameter of 67,0 mm or more but not more than 99,0 mm,
 
-3 cold calibrated roller tracks with a diameter of 29,95 mm or more but not more than 49,2 mm,
 
-an external spline with 21 teeth or more but not more than 41,
 
-forged, turned, rolled and hardened",True
8708509955,"Outboard constant velocity joint inner race, part of the vehicle's drive system, with:
 
-6 or more but not more than 8 ball tracks, suitable for bearing balls with a diameter of 12,0 mm or more but not more than 24,0 mm,
 
-forged, turned, milled, broached and hardened",True
8708509960,"Inboard constant velocity joint tripod spider, part of the vehicle's drive system, with:
 
-3 trunnions with a diameter of 17,128 mm or more but not more than 25,468 mm,
 
-forged, turned, broached and hardened",True
8708509990,Other,True
8708709115,"fitted with pneumatic tyres, new or retreaded, of rubber, of a kind used for buses or lorries, with a load index exceeding 121",True
8708709190,Other,True
8708709920,"Fitted with pneumatic tyres, new or retreaded, of rubber, of a kind used for buses or lorries, with a load index exceeding 121",False
8708709980,Other,False
8708805500,Anti roll bars; other torsion bars,True
8708809100,Of closed-die forged steel,True
8708809930,"Surface-hardened, steel piston rod for a hydraulic or hydropneumatic shock absorber of motor vehicles:
 
-with a chrome coating,
 
-of a diameter of 11 mm or more, but not more than 28 mm,
 
-of a length of 80 mm or more, but not more than 600 mm,
with a threaded end or a mandrel for resistance welding",True
8708809990,Other,True
8708919100,Of closed-die forged steel,True
8708919930,"Aluminium alloy inlet or outlet air tank of heat exchangers for car cooling systems, manufactured to standard EN AC 42100 or EN AC 43000 T6 with
 
-|an insulating area flatness of not more than 0,1|mm,
 
-|a permissible particle quantity of 0,3|mg per tank,
 
-|a distance between pores of 2|mm or more,
 
-|pore sizes of not more than 0,4|mm, and
 
-|not more than 3|pores larger than 0,2mm

-with a weight of 0,2kg or more but not more than 3kg",True
8708919990,Other,True
8708923500,Silencers (mufflers) and exhaust pipes,True
8708929100,Of closed-die forged steel,True
8708929900,Other,True
8708943500,"Steering wheels, steering columns and steering boxes",True
8708949100,Of closed-die forged steel,True
