tax_code,description
1602 20 10,"– – Goose or duck liver 10,2 —"
1602 20 90,– – Other 16 —
1602 31,– –Of turkeys:  
1602 31 11,"– – – – Containing exclusively uncooked turkey meat 102,4 €/100 kg/net(18) —"
1602 31 19,"– – – – Other 102,4 €/100 kg/net(18) —"
1602 31 80,"– – – Other 102,4 €/100 kg/net(18) —"
1602 32,– –Of fowls of the speciesGallus domesticus:  
1602 32 11,"– – – – Uncooked 276,5 €/100 kg/net(18) —"
1602 32 19,"– – – – Other 102,4 €/100 kg/net(18) —"
1602 32 30,"– – – Containing 25 % or more but less than 57 % by weight of poultry meat or offal(92) 276,5 €/100 kg/net(18) —"
1602 32 90,"– – – Other 276,5 €/100 kg/net(18) —"
1602 39,– –Other:  
1602 39 21,"– – – – Uncooked 276,5 €/100 kg/net(18) —"
1602 39 29,"– – – – Other 276,5 €/100 kg/net(18) —"
1602 39 85,"– – – Other 276,5 €/100 kg/net(18) —"
1602 41,– –Hams and cuts thereof:  
1602 41 10,"– – – Of domestic swine 156,8 €/100 kg/net(18) —"
1602 41 90,"– – – Other 10,9 —"
1602 42,– –Shoulders and cuts thereof:  
1602 42 10,"– – – Of domestic swine 129,3 €/100 kg/net(18) —"
1602 42 90,"– – – Other 10,9 —"
1602 49,"– –Other, including mixtures:  "
1602 49 11,"– – – – – Loins (excluding collars) and cuts thereof, including mixtures of loins or hams 156,8 €/100 kg/net(18) —"
1602 49 13,"– – – – – Collars and cuts thereof, including mixtures of collars and shoulders 129,3 €/100 kg/net(18) —"
1602 49 15,"– – – – – Other mixtures containing hams (legs), shoulders, loins or collars, and cuts thereof 129,3 €/100 kg/net(18) —"
1602 49 19,"– – – – – Other 85,7 €/100 kg/net(18) —"
1602 49 30,"– – – – Containing by weight 40 % or more but less than 80 % of meat or meat offal, of any kind, including fats of any kind or origin 75 €/100 kg/net(18) —"
1602 49 50,"– – – – Containing by weight less than 40 % of meat or meat offal, of any kind, including fats of any kind or origin 54,3 €/100 kg/net(18) —"
1602 49 90,"– – – Other 10,9 —"
1602 50,–Of bovine animals:  
1602 50 10,"– – Uncooked; mixtures of cooked meat or offal and uncooked meat or offal 303,4 €/100 kg/net —"
1602 50 31,"– – – Corned beef, in airtight containers 16,6 —"
1602 50 95,"– – – Other 16,6 —"
1602 90,"–Other, including preparations of blood of any animal:  "
1602 90 10,"– – Preparations of blood of any animal 16,6 —"
1602 90 31,"– – – Of game or rabbit 10,9 —"
1602 90 51,"– – – – Containing meat or meat offal of domestic swine 85,7 €/100 kg/net —"
1602 90 61,"– – – – – – Uncooked; mixtures of cooked meat or offal and uncooked meat or offal 303,4 €/100 kg/net —"
1602 90 69,"– – – – – – Other 16,6 —"
1602 90 91,"– – – – – – Of sheep 12,8 —"
1602 90 95,"– – – – – – Of goats 16,6 —"
1602 90 99,"– – – – – – Other 16,6 —"
1603 00,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates:  "
1603 00 10,"– In immediate packings of a net content of 1 kg or less 12,8 —"
1603 00 80,– Other Free —
1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs:  
1604 11 00,"– –Salmon 5,5 —"
1604 12,– –Herring:  
1604 12 10,"– – – Fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen 15 —"
1604 12 91,– – – – In airtight containers 20 —
1604 12 99,– – – – Other 20 —
1604 13,"– –Sardines, sardinella and brisling or sprats:  "
1604 13 11,"– – – – In olive oil 12,5 —"
1604 13 19,"– – – – Other 12,5 —"
1604 13 90,"– – – Other 12,5 —"
1604 14,"– –Tunas, skipjack tuna and bonito (Sardaspp.):  "
1604 14 21,– – – – – In vegetable oil 24 —
1604 14 26,– – – – – – Fillets known as ‘loins’ 24 —
1604 14 28,– – – – – – Other 24 —
1604 14 31,– – – – – In vegetable oil 24 —
1604 14 36,– – – – – – Fillets known as ‘loins’ 24 —
1604 14 38,– – – – – – Other 24 —
1604 14 41,– – – – – In vegetable oil 24 —
1604 14 46,– – – – – – Fillets known as ‘loins’ 24 —
1604 14 48,– – – – – – Other 24 —
1604 14 90,– – – Bonito (Sardaspp.) 25 —
1604 15,– –Mackerel:  
1604 15 11,– – – – Fillets 25 —
1604 15 19,– – – – Other 25 —
1604 15 90,– – – Of the speciesScomber australasicus 20 —
1604 16 00,– –Anchovies 25 —
1604 17 00,– –Eels 20 —
1604 18 00,– –Shark fins 20 —
1604 19,– –Other:  
1604 19 10,"– – – Salmonidae, other than salmon 7 —"
1604 19 31,– – – – Fillets known as ‘loins’ 24 —
1604 19 39,– – – – Other 24 —
1604 19 50,"– – – Fish of the speciesOrcynopsis unicolor 12,5 —"
1604 19 91,"– – – – Fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen 7,5 —"
1604 19 92,"– – – – – Cod (Gadus morhua,Gadus ogac,Gadus macrocephalus) 20 —"
1604 19 93,– – – – – Coalfish (Pollachius virens) 20 —
1604 19 94,"– – – – – Hake (Merlucciusspp.,Urophycisspp.) 20 —"
1604 19 95,– – – – – Alaska pollock (Theragra chalcogramma) and pollack (Pollachius pollachius) 20 —
1604 19 97,– – – – – Other 20 —
1604 20,–Other prepared or preserved fish:  
1604 20 05,– – Preparations of surimi 20 —
1604 20 10,"– – – Of salmon 5,5 —"
1604 20 30,"– – – Of Salmonidae, other than salmon 7 —"
1604 20 40,– – – Of anchovies 25 —
1604 20 50,"– – – Of sardines, bonito, mackerel of the speciesScomber scombrusandScomber japonicus, fish of the speciesOrcynopsis unicolor 25(18) —"
1604 20 70,"– – – Of tuna, skipjack tuna or other fish of the genusEuthynnus 24(18) —"
1604 20 90,– – – Of other fish 14 —
1604 31 00,– –Caviar 20 —
1604 32 00,– –Caviar substitutes 20 —
1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved:  "
1605 10 00,–Crab 8 —
1605 21,– –Not in airtight containers:  
1605 21 10,– – – In immediate packings of a net content not exceeding 2 kg 20(18) —
1605 21 90,– – – Other 20(18) —
1605 29 00,– –Other 20(18) —
1605 30,–Lobster:  
1605 30 10,"– – Lobster meat, cooked, for the manufacture of lobster butter or of lobster pastes, pâtés, soups or sauces(31) Free —"
1605 30 90,– – Other 20 —
1605 40 00,–Other crustaceans 20(18) —
1605 51 00,– –Oysters 20 —
1605 52 00,"– –Scallops, including queen scallops 20 —"
1605 53,– –Mussels:  
1605 53 10,– – – In airtight containers 20 —
1605 53 90,– – – Other 20 —
1605 54 00,– –Cuttlefish and squid 20 —
1605 55 00,– –Octopus 20 —
1605 56 00,"– –Clams, cockles and arkshells 20 —"
1605 57 00,– –Abalone 20 —
1605 58 00,"– –Snails, other than sea snails 20 —"
1605 59 00,– –Other 20 —
1605 61 00,– –Sea cucumbers 26 —
1605 62 00,– –Sea urchins 26 —
1605 63 00,– –Jellyfish 26 —
1605 69 00,– –Other 26 —
1701,"Cane or beet sugar and chemically pure sucrose, in solid form:  "
1701 12,– –Beet sugar:  
1701 12 10,"– – – For refining(31) 33,9 €/100 kg/net(94)(18) —"
1701 12 90,"– – – Other 41,9 €/100 kg/net(18) —"
1701 13,– –Cane sugar specified in subheading note 2 to this chapter:  
1701 13 10,"– – – For refining(31) 33,9 €/100 kg/net(94)(18) —"
1701 13 90,"– – – Other 41,9 €/100 kg/net(18) —"
1701 14,– –Other cane sugar:  
1701 14 10,"– – – For refining(31) 33,9 €/100 kg/net(94)(18) —"
1701 14 90,"– – – Other 41,9 €/100 kg/net(18) —"
1701 91 00,"– –Containing added flavouring or colouring matter 41,9 €/100 kg/net(18) —"
1701 99,– –Other:  
1701 99 10,"– – – White sugar 41,9 €/100 kg/net(18) —"
1701 99 90,"– – – Other 41,9 €/100 kg/net(18) —"
1702,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel:  "
1702 11 00,"– –Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter 14 €/100 kg/net —"
1702 19 00,– –Other 14 €/100 kg/net —
1702 20,–Maple sugar and maple syrup:  
1702 20 10,"– – Maple sugar in solid form, containing added flavouring or colouring matter 0,4 €/100 kg/net(95) —"
1702 20 90,– – Other 8 —
1702 30,"–Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose:  "
1702 30 10,"– – Isoglucose 50,7 €/100 kg/net mas —"
1702 30 50,"– – – In the form of white crystalline powder, whether or not agglomerated 26,8 €/100 kg/net —"
1702 30 90,– – – Other 20 €/100 kg/net —
1702 40,"–Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar:  "
1702 40 10,"– – Isoglucose 50,7 €/100 kg/net mas —"
1702 40 90,– – Other 20 €/100 kg/net —
1702 50 00,"–Chemically pure fructose 16 + 50,7 €/100 kg/net mas(18) —"
1702 60,"–Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar:  "
1702 60 10,"– – Isoglucose 50,7 €/100 kg/net mas —"
1702 60 80,"– – Inulin syrup 0,4 €/100 kg/net(95) —"
1702 60 95,"– – Other 0,4 €/100 kg/net(95) —"
1702 90,"–Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose:  "
1702 90 10,"– – Chemically pure maltose 12,8 —"
1702 90 30,"– – Isoglucose 50,7 €/100 kg/net mas —"
1702 90 50,– – Maltodextrine and maltodextrine syrup 20 €/100 kg/net —
1702 90 71,"– – – Containing 50 % or more by weight of sucrose in the dry matter 0,4 €/100 kg/net(95) —"
1702 90 75,"– – – – In the form of powder, whether or not agglomerated 27,7 €/100 kg/net —"
1702 90 79,"– – – – Other 19,2 €/100 kg/net —"
1702 90 80,"– – Inulin syrup 0,4 €/100 kg/net(95) —"
1702 90 95,"– – Other 0,4 €/100 kg/net(95) —"
1703,Molasses resulting from the extraction or refining of sugar:  
1703 10 00,"–Cane molasses 0,35 €/100 kg/net —"
1703 90 00,"–Other 0,35 €/100 kg/net —"
1704,"Sugar confectionery (including white chocolate), not containing cocoa:  "
1704 10,"–Chewing gum, whether or not sugar-coated:  "
1704 10 10,"– – Containing less than 60 % by weight of sucrose (including invert sugar expressed as sucrose) 6,2 + 27,1 €/100 kg/net MAX 17,9(18) —"
1704 10 90,"– – Containing 60 % or more by weight of sucrose (including invert sugar expressed as sucrose) 6,3 + 30,9 €/100 kg/net MAX 18,2(18) —"
1704 90,–Other:  
1704 90 10,"– – Liquorice extract containing more than 10 % by weight of sucrose but not containing other added substances 13,4(18) —"
1704 90 30,"– – White chocolate 9,1 + 45,1 €/100 kg/net MAX 18,9 + 16,5 €/100 kg/net(18) —"
1704 90 51,"– – – Pastes, including marzipan, in immediate packings of a net content of 1 kg or more (9 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1704 90 55,"– – – Throat pastilles and cough drops (9 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1704 90 61,"– – – Sugar-coated (panned) goods (9 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1704 90 65,"– – – – Gum confectionery and jelly confectionery, including fruit pastes in the form of sugar confectionery (9 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1704 90 71,"– – – – Boiled sweets, whether or not filled (9 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1704 90 75,"– – – – Toffees, caramels and similar sweets (9 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1704 90 81,"– – – – – Compressed tablets (9 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1704 90 99,"– – – – – Other (9 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1801 00 00,"Cocoa beans, whole or broken, raw or roasted Free —"
1802 00 00,"Cocoa shells, husks, skins and other cocoa waste Free —"
1803,"Cocoa paste, whether or not defatted:  "
1803 10 00,"–Not defatted 9,6 —"
1803 20 00,"–Wholly or partly defatted 9,6 —"
1804 00 00,"Cocoa butter, fat and oil 7,7 —"
1805 00 00,"Cocoa powder, not containing added sugar or other sweetening matter 8 —"
1806,Chocolate and other food preparations containing cocoa:  
1806 10,"–Cocoa powder, containing added sugar or other sweetening matter:  "
1806 10 15,– – Containing no sucrose or containing less than 5 % by weight of sucrose (including invert sugar expressed as sucrose) or isoglucose expressed as sucrose 8(18) —
1806 10 20,"– – Containing 5 % or more but less than 65 % by weight of sucrose (including invert sugar expressed as sucrose) or isoglucose expressed as sucrose 8 + 25,2 €/100 kg/net(18) —"
1806 10 30,"– – Containing 65 % or more but less than 80 % by weight of sucrose (including invert sugar expressed as sucrose) or isoglucose expressed as sucrose 8 + 31,4 €/100 kg/net(18) —"
1806 10 90,"– – Containing 80 % or more by weight of sucrose (including invert sugar expressed as sucrose) or isoglucose expressed as sucrose 8 + 41,9 €/100 kg/net(18) —"
1806 20,"–Other preparations in blocks, slabs or bars weighing more than 2 kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, of a content exceeding 2 kg:  "
1806 20 10,"– – Containing 31 % or more by weight of cocoa butter or containing a combined weight of 31 % or more of cocoa butter and milkfat (8,3 + EA) MAX (18,7 + AD S/Z)(49)(18) —"
1806 20 30,"– – Containing a combined weight of 25 % or more, but less than 31 % of cocoa butter and milkfat (8,3 + EA) MAX (18,7 + AD S/Z)(49)(18) —"
1806 20 50,"– – – Containing 18 % or more by weight of cocoa butter (8,3 + EA) MAX (18,7 + AD S/Z)(49)(18) —"
1806 20 70,"– – – Chocolate milk crumb 15,4 + EA(49)(18) —"
1806 20 80,"– – – Chocolate flavour coating (8,3 + EA) MAX (18,7 + AD S/Z)(49)(18) —"
1806 20 95,"– – – Other (8,3 + EA) MAX (18,7 + AD S/Z)(49)(18) —"
1806 31 00,"– –Filled (8,3 + EA) MAX (18,7 + AD S/Z)(49)(18) —"
1806 32,– –Not filled:  
1806 32 10,"– – – With added cereal, fruit or nuts (8,3 + EA) MAX (18,7 + AD S/Z(18)(49) —"
1806 32 90,"– – – Other (8,3 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1806 90,–Other:  
1806 90 11,"– – – – Containing alcohol (8,3 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1806 90 19,"– – – – Other (8,3 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1806 90 31,"– – – – Filled (8,3 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1806 90 39,"– – – – Not filled (8,3 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1806 90 50,"– – Sugar confectionery and substitutes therefor made from sugar substitution products, containing cocoa (8,3 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1806 90 60,"– – Spreads containing cocoa (8,3 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1806 90 70,"– – Preparations containing cocoa for making beverages (8,3 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1806 90 90,"– – Other (8,3 + EA) MAX (18,7 + AD S/Z)(18)(49) —"
1901,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40 % by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of headings 0401  to 0404 , not containing cocoa or containing less than 5 % by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included:  "
1901 10 00,"–Preparations suitable for infants or young children, put up for retail sale 7,6 + EA(49) —"
1901 20 00,"–Mixes and doughs for the preparation of bakers' wares of heading 1905 7,6 + EA(49) —"
1901 90,–Other:  
1901 90 11,"– – – With a dry extract content of 90 % or more by weight 5,1 + 18 €/100 kg/net —"
1901 90 19,"– – – Other 5,1 + 14,7 €/100 kg/net —"
1901 90 91,"– – – Containing no milkfats, sucrose, isoglucose, glucose or starch or containing less than 1,5 % milkfat, 5 % sucrose (including invert sugar) or isoglucose, 5 % glucose or starch, excluding food preparations in powder form of goods of headings 0401  to 0404 12,8 —"
1901 90 95,"– – – Food preparations in powder form, consisting of a blend of skimmed milk and/or whey and vegetable fats/oils, with a content of fats/oils not exceeding 30 % by weight 7,6 + EA(18)(49) —"
1901 90 99,"– – – Other 7,6 + EA(18)(49) —"
1902,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared:  "
1902 11 00,"– –Containing eggs 7,7 + 24,6 €/100 kg/net(18) —"
1902 19,– –Other:  
1902 19 10,"– – – Containing no common wheat flour or meal 7,7 + 24,6 €/100 kg/net(18) —"
1902 19 90,"– – – Other 7,7 + 21,1 €/100 kg/net(18) —"
1902 20,"–Stuffed pasta, whether or not cooked or otherwise prepared:  "
1902 20 10,"– – Containing more than 20 % by weight of fish, crustaceans, molluscs or other aquatic invertebrates 8,5 —"
1902 20 30,"– – Containing more than 20 % by weight of sausages and the like, of meat and meat offal of any kind, including fats of any kind or origin 54,3 €/100 kg/net —"
1902 20 91,"– – – Cooked 8,3 + 6,1 €/100 kg/net(18) —"
1902 20 99,"– – – Other 8,3 + 17,1 €/100 kg/net(18) —"
1902 30,–Other pasta:  
1902 30 10,"– – Dried 6,4 + 24,6 €/100 kg/net(18) —"
1902 30 90,"– – Other 6,4 + 9,7 €/100 kg/net(18) —"
1902 40,–Couscous:  
1902 40 10,"– – Unprepared 7,7 + 24,6 €/100 kg/net(18) —"
1902 40 90,"– – Other 6,4 + 9,7 €/100 kg/net(18) —"
1903 00 00,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or similar forms 6,4 + 15,1 €/100 kg/net(18) —"
1904,"Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked or otherwise prepared, not elsewhere specified or included:  "
1904 10,–Prepared foods obtained by the swelling or roasting of cereals or cereal products:  
1904 10 10,"– – Obtained from maize 3,8 + 20 €/100 kg/net —"
1904 10 30,"– – Obtained from rice 5,1 + 46 €/100 kg/net —"
1904 10 90,"– – Other 5,1 + 33,6 €/100 kg/net —"
1904 20,–Prepared foods obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes or swelled cereals:  
1904 20 10,– – Preparation of the Müsli type based on unroasted cereal flakes 9 + EA(49) —
1904 20 91,"– – – Obtained from maize 3,8 + 20 €/100 kg/net —"
1904 20 95,"– – – Obtained from rice 5,1 + 46 €/100 kg/net —"
1904 20 99,"– – – Other 5,1 + 33,6 €/100 kg/net —"
1904 30 00,"–Bulgur wheat 8,3 + 25,7 €/100 kg/net(18) —"
1904 90,–Other:  
1904 90 10,"– – Obtained from rice 8,3 + 46 €/100 kg/net —"
1904 90 80,"– – Other 8,3 + 25,7 €/100 kg/net(18) —"
1905,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products:  "
1905 10 00,"–Crispbread 5,8 + 13 €/100 kg/net —"
1905 20,–Gingerbread and the like:  
1905 20 10,"– – Containing by weight less than 30 % of sucrose (including invert sugar expressed as sucrose) 9,4 + 18,3 €/100 kg/net —"
1905 20 30,"– – Containing by weight 30 % or more but less than 50 % of sucrose (including invert sugar expessed as sucrose) 9,8 + 24,6 €/100 kg/net —"
1905 20 90,"– – Containing by weight 50 % or more of sucrose (including invert sugar expressed as sucrose) 10,1 + 31,4 €/100 kg/net —"
1905 31,– –Sweet biscuits:  
1905 31 11,"– – – – In immediate packings of a net content not exceeding 85 g (9 + EA) MAX (24,2 + AD S/Z)(49) —"
1905 31 19,"– – – – Other (9 + EA) MAX (24,2 + AD S/Z)(49) —"
1905 31 30,"– – – – Containing 8 % or more by weight of milkfats (9 + EA) MAX (24,2 + AD S/Z)(49) —"
1905 31 91,"– – – – – Sandwich biscuits (9 + EA) MAX (24,2 + AD S/Z)(49) —"
1905 31 99,"– – – – – Other (9 + EA) MAX (24,2 + AD S/Z)(49) —"
1905 32,– –Waffles and wafers:  
1905 32 05,"– – – With a water content exceeding 10 % by weight (9 + EA) MAX (20,7 + AD F/M)(49) —"
1905 32 11,"– – – – – In immediate packings of a net content not exceeding 85 g (9 + EA) MAX (24,2 + AD S/Z)(49) —"
1905 32 19,"– – – – – Other (9 + EA) MAX (24,2 + AD S/Z)(49) —"
1905 32 91,"– – – – – Salted, whether or not filled (9 + EA) MAX (20,7 + AD F/M)(49) —"
1905 32 99,"– – – – – Other (9 + EA) MAX (24,2 + AD S/Z)(49) —"
1905 40,"–Rusks, toasted bread and similar toasted products:  "
1905 40 10,"– – Rusks 9,7 + EA(49) —"
1905 40 90,"– – Other 9,7 + EA(49) —"
1905 90,–Other:  
1905 90 10,"– – Matzos 3,8 + 15,9 €/100 kg/net(18) —"
1905 90 20,"– – Communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products 4,5 + 60,5 €/100 kg/net(18) —"
1905 90 30,"– – – Bread, not containing added honey, eggs, cheese or fruit, and containing by weight in the dry matter state not more than 5 % of sugars and not more than 5 % of fat 9,7 + EA(49)(18) —"
1905 90 45,"– – – Biscuits (9 + EA) MAX (20,7 + AD F/M)(49)(18) —"
1905 90 55,"– – – Extruded or expanded products, savoury or salted (9 + EA) MAX (20,7 + AD F/M)(49)(18) —"
1905 90 70,"– – – – Containing 5 % or more, by weight, of sucrose, invert sugar or isoglucose (9 + EA) MAX (24,2 + AD S/Z)(49)(18) —"
1905 90 80,"– – – – Other (9 + EA) MAX (20,7 + AD F/M)(49)(18) —"
2001,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid:  "
2001 10 00,"–Cucumbers and gherkins 17,6 kg/net eda"
2001 90,–Other:  
2001 90 10,– – Mango chutney Free —
2001 90 20,– – Fruit of the genusCapsicumother than sweet peppers or pimentos 5 —
2001 90 30,"– – Sweetcorn (Zea maysvar.saccharata) 5,1 + 9,4 €/100 kg/net(72) —"
2001 90 40,"– – Yams, sweet potatoes and similar edible parts of plants containing 5 % or more by weight of starch 8,3 + 3,8 €/100 kg/net(72) —"
2001 90 50,– – Mushrooms 16 —
2001 90 65,– – Olives 16 —
2001 90 70,– – Sweet peppers 16 —
2001 90 92,– – Tropical fruit and tropical nuts; palm hearts 10 —
2001 90 97,– – Other 16 —
2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid:  
2002 10,"–Tomatoes, whole or in pieces:  "
2002 10 11,"– – – In immediate packings of a net content exceeding 1 kg 14,4 —"
2002 10 19,"– – – In immediate packings of a net content not exceeding 1 kg 14,4 —"
2002 10 90,"– – Other 14,4 —"
2002 90,–Other:  
2002 90 11,"– – – In immediate packings of a net content exceeding 1 kg 14,4 —"
2002 90 19,"– – – In immediate packings of a net content not exceeding 1 kg 14,4 —"
2002 90 20,"– – With a dry matter content of not less than 12 % but not more than 20 % by weight 14,4 —"
2002 90 41,"– – – In immediate packings of a net content exceeding 1 kg 14,4 —"
2002 90 49,"– – – In immediate packings of a net content not exceeding 1 kg 14,4 —"
2002 90 80,"– – With a dry matter content of more than 34 % by weight 14,4 —"
2003,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid:  "
2003 10,–Mushrooms of the genusAgaricus:  
2003 10 20,"– – Provisionally preserved, completely cooked 18,4 + 191 €/100 kg/net eda(18) kg/net eda"
2003 10 30,"– – Other 18,4 + 222 €/100 kg/net eda(18) kg/net eda"
2003 90,–Other:  
2003 90 10,"– – Truffles 14,4 —"
2003 90 90,"– – Other 18,4 —"
2004,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 2006 :  "
2004 10,–Potatoes:  
2004 10 10,"– – Cooked, not otherwise prepared 14,4 —"
2004 10 91,"– – – In the form of flour, meal or flakes 7,6 + EA(49) —"
2004 10 99,"– – – Other 17,6 —"
2004 90,–Other vegetables and mixtures of vegetables:  
2004 90 10,"– – Sweetcorn (Zea maysvar.saccharata) 5,1 + 9,4 €/100 kg/net(72) —"
2004 90 30,"– – Sauerkraut, capers and olives 16 —"
2004 90 50,"– – Peas (Pisum sativum) and immature beans of the speciesPhaseolusspp., in pod 19,2 —"
2004 90 91,"– – – Onions, cooked, not otherwise prepared 14,4 —"
2004 90 98,"– – – Other 17,6 —"
2005,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 2006 :  "
2005 10 00,"–Homogenised vegetables 17,6 —"
2005 20,–Potatoes:  
2005 20 10,"– – In the form of flour, meal or flakes 8,8 + EA(49) —"
2005 20 20,"– – – Thin slices, fried or baked, whether or not salted or flavoured, in airtight packings, suitable for immediate consumption 14,1 —"
2005 20 80,"– – – Other 14,1 —"
2005 40 00,"–Peas (Pisum sativum) 19,2 —"
2005 51 00,"– –Beans, shelled 17,6 —"
2005 59 00,"– –Other 19,2 —"
2005 60 00,"–Asparagus 17,6 —"
2005 70 00,"–Olives 12,8 kg/net eda"
2005 80 00,"–Sweetcorn (Zea maysvar.saccharata) 5,1 + 9,4 €/100 kg/net(72) —"
2005 91 00,"– –Bamboo shoots 17,6 —"
2005 99,– –Other:  
2005 99 10,"– – – Fruit of the genusCapsicum, other than sweet peppers or pimentos 6,4 —"
2005 99 20,– – – Capers 16 —
2005 99 30,"– – – Globe artichokes 17,6 —"
2005 99 50,"– – – Mixtures of vegetables 17,6 —"
2005 99 60,– – – Sauerkraut 16 —
2005 99 80,"– – – Other 17,6 —"
2006 00,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glacé or crystallised):  "
2006 00 10,– Ginger Free —
2006 00 31,"– – – Cherries 20 + 23,9 €/100 kg/net —"
2006 00 35,"– – – Tropical fruit and tropical nuts 12,5 + 15 €/100 kg/net —"
2006 00 38,"– – – Other 20 + 23,9 €/100 kg/net —"
2006 00 91,"– – – Tropical fruit and tropical nuts 12,5 —"
2006 00 99,– – – Other 20 —
2007,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter:  "
2007 10,–Homogenised preparations:  
2007 10 10,"– – With a sugar content exceeding 13 % by weight 24 + 4,2 €/100 kg/net —"
2007 10 91,– – – Of tropical fruit 15 —
2007 10 99,– – – Other 24 —
2007 91,– –Citrus fruit:  
2007 91 10,– – – With a sugar content exceeding 30 % by weight 20 + 23 €/100 kg/net —
2007 91 30,"– – – With a sugar content exceeding 13 % but not exceeding 30 % by weight 20 + 4,2 €/100 kg/net —"
2007 91 90,"– – – Other 21,6 —"
2007 99,– –Other:  
2007 99 10,"– – – – Plum purée and paste and prune purée and paste, in immediate packings of a net content exceeding 100 kg, for industrial processing(31) 22,4 —"
2007 99 20,"– – – – Chestnut purée and paste 24 + 19,7 €/100 kg/net —"
2007 99 31,– – – – – Of cherries 24 + 23 €/100 kg/net —
2007 99 33,– – – – – Of strawberries 24 + 23 €/100 kg/net —
2007 99 35,– – – – – Of raspberries 24 + 23 €/100 kg/net —
2007 99 39,– – – – – Other 24 + 23 €/100 kg/net —
2007 99 50,"– – – With a sugar content exceeding 13 % but not exceeding 30 % by weight 24 + 4,2 €/100 kg/net —"
2007 99 93,– – – – Of tropical fruit and tropical nuts 15 —
2007 99 97,– – – – Other 24 —
2008,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included:  "
2008 11,– –Groundnuts:  
2008 11 10,"– – – Peanut butter 12,8 —"
2008 11 91,"– – – – Exceeding 1 kg 11,2 —"
2008 11 96,– – – – – Roasted 12 —
2008 11 98,"– – – – – Other 12,8 —"
2008 19,"– –Other, including mixtures:  "
2008 19 12,– – – – Tropical nuts; mixtures containing by weight 50 % or more of tropical nuts 7 —
2008 19 13,– – – – – Roasted almonds and pistachios 9 —
2008 19 19,"– – – – – Other 11,2 —"
